entidad,municipio,cabecera,lat,lon,poblacion_total,poblacion_femenina,poblacion_masculina,pob_0_14,pob_15_64,pob_65_mas,grado_escolaridad,pea,pob_lengua_indigena,viviendas_totales,promedio_ocupantes_vivienda,pob_sin_afiliacion_salud
Aguascalientes,Aguascalientes,Aguascalientes,21.87982,-102.29605,948990,486917,462073,240583,639532,67941,10.84,486675,1839,313256,3.54,173199
Aguascalientes,Asientos,Villa Juárez,22.09556,-102.07079,51536,26275,25261,16266,31919,3331,8.54,21440,22,15353,4.1,7590
Aguascalientes,Calvillo,Calvillo,21.84691,-102.71875,58250,29687,28563,16720,35854,5641,8.05,25976,76,20842,3.74,11832
Aguascalientes,Cosío,Cosío,22.36641,-102.30004,17000,8708,8292,5183,10699,1118,9.08,7010,7,4845,4.32,2347
Aguascalientes,El Llano,Palo Alto,21.91887,-101.96531,20853,10407,10446,6249,13211,1392,8.49,8668,13,6598,3.91,4387
Aguascalientes,Jesús María,Jesús María,21.96127,-102.34342,129929,65710,64219,38303,84949,6538,10.22,65839,158,41550,3.91,27299
Aguascalientes,Pabellón de Arteaga,Pabellón de Arteaga,22.1492,-102.27654,47646,24269,23377,14140,30491,2977,9.77,22097,52,13541,4.15,8858
Aguascalientes,Rincón de Romos,Rincón de Romos,22.22923,-102.32307,57369,29268,28101,17703,35926,3579,9.6,26694,213,16527,4.22,11395
Aguascalientes,San Francisco de los Romo,San Francisco de los Romo,22.07239,-102.27268,61997,31292,30705,20157,39408,2306,9.21,29512,120,21458,3.78,10574
Aguascalientes,San José de Gracia,San José de Gracia,22.15022,-102.41563,9552,5020,4532,3033,5838,681,9.24,3834,21,3410,4.01,1249
Aguascalientes,Tepezalá,Tepezalá,22.22423,-102.16697,22485,11371,11114,6858,14007,1566,8.56,9185,18,6592,4.14,3358
Baja California,Ensenada,Ensenada,31.80894,-116.59513,443807,222500,221307,103674,304500,35220,10.34,231560,11753,171203,3.15,77808
Baja California,Mexicali,Mexicali,32.64118,-115.47558,1049792,520544,529248,234367,734081,80587,10.53,548784,5920,385642,3.16,190666
Baja California,Playas de Rosarito,Playas de Rosarito,32.36368,-117.05446,126890,62504,64386,29326,87401,9530,9.58,67128,1189,49770,3.31,35648
Baja California,San Quintín,Lázaro Cárdenas,30.52598,-115.93195,117568,57790,59778,36132,76391,4961,7.83,59205,17250,40899,3.57,31154
Baja California,Tecate,Tecate,32.57268,-116.62655,108440,51310,57130,25657,74969,7576,9.79,52804,690,42401,3.3,19715
Baja California,Tijuana,Tijuana,32.53246,-117.01891,1922523,953783,968740,449147,1359876,107406,10.18,1051417,12328,636034,3.31,481326
Baja California Sur,Comondú,Ciudad Constitución,25.03464,-111.67334,73021,36217,36804,17812,48719,6449,9.27,35847,845,27446,3.26,8554
Baja California Sur,La Paz,La Paz,24.14874,-110.30659,292241,146438,145803,64197,203031,24109,11.07,154830,3183,116231,3.18,41161
Baja California Sur,Loreto,Loreto,26.01278,-111.34333,18052,8795,9257,4532,12212,1286,9.99,9069,206,7810,3.18,2378
Baja California Sur,Los Cabos,Cabo San Lucas,22.89702,-109.92519,351111,170167,180944,93513,242624,12209,10.17,194484,6348,121645,3.44,67586
Baja California Sur,Mulegé,Santa Rosalía,27.33687,-112.26827,64022,30951,33071,16999,42453,4460,9.13,33050,2999,26741,3.24,9591
Campeche,Calakmul,Xpujil,18.50537,-89.39728,31714,15613,16101,11278,18621,1804,7.43,15391,7562,10343,3.95,7855
Campeche,Calkiní,Calkiní,20.37123,-90.05074,59232,30062,29170,15423,38406,5311,9.4,30100,26816,19433,3.87,10632
Campeche,Campeche,San Francisco de Campeche,19.84481,-90.53965,294077,152522,141555,67071,201182,25297,10.72,149442,13151,101576,3.44,57005
Campeche,Candelaria,Candelaria,18.18345,-91.04629,46913,23239,23674,15039,28478,3314,7.25,23643,2842,17817,3.53,15220
Campeche,Carmen,Ciudad del Carmen,18.63779,-91.83645,248845,125802,123043,60958,169105,15332,10.26,125297,3541,88379,3.44,57600
Campeche,Champotón,Champotón,19.35622,-90.72389,78170,39140,39030,22355,49988,5779,8.12,37660,6699,26787,3.64,18824
Campeche,Escárcega,Escárcega,18.60431,-90.732,59923,30455,29468,18061,37749,4090,8.18,29123,3177,22289,3.56,13457
Campeche,Hecelchakán,Hecelchakán,20.17697,-90.13452,31917,16204,15713,8551,20759,2607,9.27,15272,10969,10058,3.85,7095
Campeche,Hopelchén,Hopelchén,19.74555,-89.84504,42140,20812,21328,13067,25858,3155,7.5,20160,14561,12573,4.11,9503
Campeche,Palizada,Palizada,18.2536,-92.0909,8683,4260,4423,2442,5379,862,8.46,3919,67,3349,3.41,1231
Campeche,Seybaplaya,Seybaplaya,19.6392,-90.6883,15297,7660,7637,3753,10182,1361,9,6775,437,5109,3.58,2757
Campeche,Tenabo,Tenabo,20.03968,-90.22576,11452,5655,5797,3120,7406,926,8.75,5825,1979,3921,3.74,2125
Chiapas,Acacoyagua,Acacoyagua,15.34097,-92.67462,17994,8997,8997,6112,10572,1310,7.12,7954,45,5459,4.08,6089
Chiapas,Acala,Acala,16.55167,-92.80751,21187,10773,10414,6404,13153,1630,7.26,9515,1593,7179,3.9,7273
Chiapas,Acapetahua,Acapetahua,15.28284,-92.68913,26899,13714,13185,7977,16522,2397,7.15,12479,34,9482,3.53,10790
Chiapas,Aldama,Aldama,16.91782,-92.68819,8480,4440,4040,3758,4472,250,5.79,2368,7731,1939,5.13,1180
Chiapas,Altamirano,Altamirano,16.73592,-92.03859,36160,18128,18032,12608,21086,1563,6.05,15018,20677,10020,4.53,8569
Chiapas,Amatenango de la Frontera,El Pacayal,15.59804,-92.04134,31735,16307,15428,10600,18756,2376,6.55,12578,545,9806,4.19,7027
